         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
102032/22    0.613    0.000 1261.683   57.349 nest_asyncio.py:100(_run_once)
130495/121746    0.190    0.000  854.980    0.007 events.py:86(_run)
130495/121746    0.255    0.000  854.003    0.007 {method 'run' of '_contextvars.Context' objects}
102162/6855    0.384    0.000  468.544    0.068 selectors.py:451(select)
102162/6855  403.469    0.004  468.414    0.068 {method 'poll' of 'select.epoll' objects}
   1797/1    0.071    0.000  467.573  467.573 {built-in method builtins.exec}
      2/1    0.000    0.000  467.533  467.533 <string>:1(<module>)
      2/1    0.000    0.000  467.533  467.533 <frozen runpy>:201(run_module)
      2/1    0.000    0.000  467.533  467.533 <frozen runpy>:65(_run_code)
        1    0.000    0.000  467.533  467.533 __main__.py:1(<module>)
        1    0.000    0.000  467.533  467.533 runners.py:160(run)
        1    0.000    0.000  467.533  467.533 runners.py:61(__exit__)
        1    0.000    0.000  467.533  467.533 runners.py:64(close)
        6    0.000    0.000  467.494   77.916 nest_asyncio.py:86(run_until_complete)
        1    0.000    0.000  467.443  467.443 base_events.py:610(_do_shutdown)
        1    0.000    0.000  466.807  466.807 runners.py:86(run)
      4/1    0.000    0.000  465.637  465.637 base_events.py:651(run_until_complete)
      4/1    0.000    0.000  465.637  465.637 base_events.py:627(run_forever)
        9    0.000    0.000  465.124   51.680 pulse_websocket_feed.py:42(run)
       29    0.001    0.000  463.586   15.986 __init__.py:1660(_log)
       26    0.000    0.000  463.586   17.830 __init__.py:1529(info)
        1    0.000    0.000  463.581  463.581 provider.py:98(stop)
       29    0.000    0.000  460.902   15.893 __init__.py:1686(handle)
       29    0.000    0.000  460.902   15.893 __init__.py:1746(callHandlers)
       29    0.000    0.000  460.902   15.893 __init__.py:1011(handle)
        4    0.000    0.000  460.900  115.225 threading.py:1115(join)
        4    0.005    0.001  460.900  115.225 threading.py:1153(_wait_for_tstate_lock)
  136/120    0.000    0.000  435.990    3.633 {method 'acquire' of '_thread.lock' objects}
        1    0.021    0.021  107.395  107.395 provider.py:162(_browser_thread)
60927/57061    0.121    0.000   50.551    0.001 tasks.py:291(__step)
60927/57061    0.216    0.000   48.641    0.001 tasks.py:308(__step_run_and_handle_result)
60925/57063    0.083    0.000   48.167    0.001 {method 'send' of 'coroutine' objects}
  1651500    0.633    0.000   42.880    0.000 virtual_bot.py:51(process_update)
     3317    0.561    0.000   37.408    0.011 shadow_fleet_events_mixin.py:15(on_token_update)
  1606108    0.965    0.000   36.718    0.000 virtual_bot.py:85(_scan_for_entry)
  1605608    1.479    0.000   32.910    0.000 baseline_strategy_main.py:21(should_buy)
   376260   12.923    0.000   26.679    0.000 baseline_buy_rules_mixin.py:44(_calculate_momentum)
 51045132   10.546    0.000   10.546    0.000 {method 'timestamp' of 'datetime.datetime' objects}
    17463    0.095    0.000   10.400    0.001 traceback.py:221(extract_stack)
    17402    0.033    0.000    9.928    0.001 _page.py:1100(wait_for_timeout)
     8731    0.101    0.000    9.809    0.001 _sync_base.py:111(<lambda>)
    17402    0.027    0.000    7.258    0.000 _frame.py:861(wait_for_timeout)
28068/28029    0.034    0.000    6.576    0.000 tasks.py:383(__wakeup)
    17462    0.050    0.000    6.268    0.000 _connection.py:61(send)
    17464    0.059    0.000    6.195    0.000 _connection.py:544(wrap_api_call)
      855    6.105    0.007    6.105    0.007 {method 'commit' of 'sqlite3.Connection' objects}
    17463    0.043    0.000    6.018    0.000 traceback.py:377(extract)
    17464    0.071    0.000    5.327    0.000 _connection.py:109(_inner_send)
     8732    0.138    0.000    4.784    0.001 _connection.py:354(_send_message_to_server)
  595/539    4.971    0.008    4.741    0.009 {built-in method time.sleep}
     3316    0.010    0.000    4.409    0.001 shadow_fleet_recording_mixin.py:40(_record_db_snapshot)
      575    0.009    0.000    4.343    0.008 shadow_recorder.py:178(log_db_snapshot)
    34176    0.022    0.000    3.591    0.000 _connection.py:301(run_as_sync)
    34176    0.024    0.000    3.568    0.000 _connection.py:305(run)
    34175    0.208    0.000    3.543    0.000 _transport.py:137(run)
  1503968    1.950    0.000    3.283    0.000 baseline_buy_rules_mixin.py:14(_pass_buy_rules_checkup)
       94    0.002    0.000    3.279    0.035 __init__.py:1(<module>)
  1657500    1.870    0.000    2.711    0.000 virtual_bot.py:279(_create_strategy_state)
    17361    0.046    0.000    2.204    0.000 _connection.py:273(<lambda>)
    17361    0.172    0.000    2.158    0.000 _connection.py:408(dispatch)
      265    0.010    0.000    1.972    0.007 virtual_bot.py:162(_execute_virtual_sell)
      265    0.003    0.000    1.952    0.007 shadow_recorder.py:208(log_trade)
    27/25    0.000    0.000    1.863    0.075 thread.py:53(run)
       10    0.000    0.000    1.836    0.184 api_client.py:212(get_last_transaction)
 11242731    1.693    0.000    1.693    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
     8732    0.021    0.000    1.675    0.000 inspect.py:1768(stack)
     8732    0.101    0.000    1.648    0.000 inspect.py:1738(getouterframes)
 25147560    1.625    0.000    1.625    0.000 {built-in method builtins.abs}
    17463    0.413    0.000    1.618    0.000 traceback.py:399(_extract_from_extended_frame_gen)
        1    0.001    0.001    1.542    1.542 shadow_fleet_manager.py:71(shutdown)
      500    0.003    0.000    1.541    0.003 virtual_bot.py:260(shutdown)
    52400    0.269    0.000    1.474    0.000 inspect.py:1677(getframeinfo)
     8577    0.025    0.000    1.438    0.000 _connection.py:471(_listener_with_error_handler_attached)
     7956    0.009    0.000    1.384    0.000 _network.py:943(<lambda>)
     7956    0.032    0.000    1.361    0.000 _network.py:994(_on_frame_received)
8722/8714    0.032    0.000    1.314    0.000 asyncio.py:46(emit)
8742/8734    0.010    0.000    1.273    0.000 base.py:201(emit)
8742/8734    0.051    0.000    1.262    0.000 base.py:185(_call_handlers)
     7947    0.021    0.000    1.201    0.000 asyncio.py:72(_emit_run)
        1    0.000    0.000    1.166    1.166 sb_cdp.py:3139(__init__)
  1605608    1.165    0.000    1.165    0.000 baseline_security_mixin.py:43(_security_checkup)
     7943    0.065    0.000    1.124    0.000 _impl_to_api_mapping.py:121(wrapper_func)
   780/20    0.004    0.000    0.970    0.048 <frozen importlib._bootstrap>:1349(_find_and_load)
    763/9    0.003    0.000    0.969    0.108 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   730/13    0.002    0.000    0.967    0.074 <frozen importlib._bootstrap>:911(_load_unlocked)
   680/10    0.002    0.000    0.966    0.097 <frozen importlib._bootstrap_external>:989(exec_module)
  1684/22    0.001    0.000    0.962    0.044 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     8732    0.029    0.000    0.881    0.000 _transport.py:173(send)
   237/48    0.001    0.000    0.853    0.018 {built-in method builtins.__import__}
        4    0.000    0.000    0.844    0.211 browser.py:1(<module>)
    51892    0.071    0.000    0.824    0.000 virtual_bot.py:104(_manage_active_trade)
      2/1    0.000    0.000    0.803    0.803 <frozen runpy>:105(_get_module_details)
        1    0.000    0.000    0.802    0.802 pulse_websocket_feed.py:1(<module>)
    17361    0.115    0.000    0.759    0.000 _transport.py:83(deserialize_message)
        1    0.000    0.000    0.730    0.730 provider.py:1(<module>)
    90554    0.600    0.000    0.716    0.000 {built-in method posix.stat}
     8732    0.235    0.000    0.710    0.000 _connection.py:603(_extract_stack_trace_information_from_stack)
    87313    0.098    0.000    0.664    0.000 linecache.py:52(checkcache)
  490/174    0.001    0.000    0.649    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.546    0.546 cdp_util.py:740(start_sync)
    52400    0.063    0.000    0.528    0.000 inspect.py:1670(_get_code_position)
    21990    0.082    0.000    0.525    0.000 __init__.py:299(loads)
    52400    0.120    0.000    0.518    0.000 inspect.py:944(getsourcefile)
